Number,Other Numbers,Name,Class,Description,Longer Description,Material,Dimensions,Acoustic Measure,Provenance,Maker,Date,Location,Source,Acquired,Previous Owners,Mark,Labels,Information,Publication,Image,Sound Recording,Playable,Condition,Recorder
1018,,Transverse Flute,Flutes,"Alto flute in G, of mahogany, with four joints. one joint is forked and the head is attached to it so it is at an angle to the flute. With six keys of wood painted black and ivory.",,Mahogany Wood PlantIvory Tooth Animal,Max L = 915 mm  Max W = 215 mm,,"UK, England, London",Burghley,mid-19th century,Display Case 7,Philip Bate,,,,"6 key Burghley alto flute in G, mahogany. 1018 [display label]",,"Philip Bate, The Flute, pp. 139-40, 188",Collections Image 15-01-2013,,no,"Fair condition, top chipped, keys not working properly.",Elin Bornemann [15/01/2013]
1017,,Transverse Flute,Flutes,"Flute of mahogany, with angled head joint made in segments to allow various adjustments. With two keys of black wood (one broken off). With ivory ferrules on the foot.",,Mahogany Wood PlantWood Plant,Max L = 560 mm  Max Diam = 37 mm,,"UK, England, London",Burghley,mid-19th century,Display Case 7,Philip Bate,,,,"3 key [sic], Burghley, mahogany. The head is made in sections to allow adjustment of the embouchure position. 1017 [display label]",,,Collections Image 15-01-2013,,no,"Fair condition, one key broken off and hole chipped, dirty.",Elin Bornemann [15/01/2013]
1016,,Transverse Flute,Flutes,"Flute of mahogany, with angled head joint, with one key of black wood and ivory, with one fingerhole bushed with ivory, and with ivory ferrules.",,Mahogany Wood PlantWood PlantIvory Tooth Animal,Max L = 600 mm  Max Diam = 37 mm,,"UK, England, London",Burghley,mid-19th century,Display Case 7,Philip Bate,,,,"1 key, Burghley, devised and perhaps made by Dr. Burghley of Camden Town, London, second half 19th century, mahogany. 1016 [display label]",,,Collections Image 15-01-2013,,no,"Fair condition, key not working, ferrules on the foot missing.",Elin Bornemann [15/01/2013]
1036,,Transverse Flute,Flutes,"Bass flute in Bb of cocus, in five joints, with eight keys of silver and silver ferrules. With C foot.",,Cocus Wood PlantSilver Animal,Max L = 837 mm  Max Diam [head] = 30 mm,,"UK, England, London",Rudall & Rose,c.1825,Display Case 7,purchased,,,RUDALL & ROSE No 1 TAVISTOCK STREET COVENT GARDEN LONDON 4754,"8 key Bb bass, Rudall & Rose, London, c. 1825, cocus. With C foot. Purchased. [display label]",,,Collections Image 15-01-2013,,no,"Good condition, but dirty and some keys sticking.",Elin Bornemann [15/01/2013]
x124,,Transverse Flute,Flutes,"Bass flute in Bb of cocus, with head joint of metal (nickel alloy) with mouthpiece of wood painted black. With keys of nickel alloy, 6 key system with plates.",,Cocus Wood PlantNickel Alloy Metal,Max L = 690 mm  Max Diam [body] = 26 mm,,"UK, England, London","Rudall, Carte & Co.",early 20th century,Display Case 7,Philip Bate,,,RUDALL CARTE & CO. LTD. 23 BERNERS STREET OXFORD STREET LONDON 5882,"Bb bass, Rudall Carte & Co., London. Cocus and metal. Philip Bate Loan. x124 [display label]",,,Collections Image 15-01-2013,,possibly (keys might not work properly),"Fair condition, one ferrule oxidising, scratch or crack on lower body joint, dusty.",Elin Bornemann [15/01/2013]
1020,,Transverse Flute,Flutes,"Flute of ebonite, no keys, blown like a transverse flute but held vertically, Giorgi system. With metal ferrules.",,Ebonite SyntheticMetal,Max L = 522 mm  Max W = 35 mm,,"UK, England, London",Joseph Wallis & Son,late 19th century,Display Case 7,Philip Bate,,,JOSEPH WALLIS & SON LTD. GIORGI PATENT LONDON [on body]  C.T. Giorgi PATENT Wallis [on mouthpiece],"Keyless Giorgi, Joseph Wallis & Son, London, Patented 1896, ebonite. [display label]",,,Collections Image 15-01-2013,,yes,"Fair condition, ebonite appears to be degrading in places. Dirty.",Elin Bornemann [15/01/2013]
1021,,Transverse Flute,Flutes,"Flute of ebonite, blown like a transverse flute but held vertically, Giorgi system. With one copper alloy key and copper alloy ferrule at the bottom.",,Ebonite SyntheticCopper Alloy Metal,Max L = 522 mm  Max W = 35 mm,,"UK, England, London",Joseph Wallis & Son,late 19th century,Display Case 7,Reginald Morley-Pegge Memorial Gift,13/06/1972,given via William Morley-Pegge,JOSEPH WALLIS & SON LTD. GIORGI PATENT LONDON [on body]  C.T. Giorgi PATENT Wallis [on mouthpiece],"1 key Giorgi, Joseph Wallis & Son, London, Patented 1896, ebonite. Morley-Pegge Gift. [display label]",,,Collections Image 15-01-2013,,yes,"Fair condition, oxidation on the key, dirty.",Elin Bornemann [15/01/2013]
1068,,Transverse Flute,Flutes,"Flute of ebonite, blown like a transverse flute but held vertically, Giorgi system. With three nickel alloy keys and ferrules of nickel alloy.",,Ebonite SyntheticNickel Alloy Metal,Max L = 522 mm  Max W = 35 mm,,"UK, England, London",Joseph Wallis & Son,late 19th century,Display Case 7,Edgar Hunt,February 1983,,JOSEPH WALLIS & SON LTD. GIORGI PATENT LONDON [on body]  C.T. Giorgi PATENT Wallis [on mouthpiece],"3 key Giorgi, Joseph Wallis & Son, London, patented 1896, ebonite. Edgar Hunt Accession. 1068",,,Collections Image 15-01-2013,,yes,"Fair condition, oxidation on the keys and the ferrules, ebonite appears to be degrading in places, dirty.",Elin Bornemann [15/01/2013]
1019,,Transverse Flute,Flutes,"Flute of nickel alloy, blown like a transverse flute but held vertically, Giorgi system. With large rectangular holes and rectangular plates operated with a system of metal tracks, Schaffner system.","Flute of nickel alloy, blown like a transverse flute but held vertically, Giorgi system. With large rectangular holes and rectangular plates operated with a system of metal tracks, Schaffner system. The plates have the corresponding notes printed onto them. With ebonite mouthpiece.",Ebonite SyntheticNickel Alloy Metal,Max L = 591 mm  Max W = 35 mm,,"Italy, Florence",H. Schaffner (possibly Giorgi & Schaffner),late 19th century,Display Case 7,Philip Bate,,,H. SCHAFFNER BREVETE S.C.D.G. FLORENCE [on body]  C.T. Giorgi [on mouthpiece],"14 key, Schaffner system, Giorgi, Florence, patented 1888, metal. 1019 [display label]",,,Collections Image 15-01-2013,,no,"Fair condition, oxidation on the metal, some deterioration, keys not working.",Elin Bornemann [15/01/2013]
1011,,Transverse FluteFlute d'Amour,Flutes,"Flute d'amour of ivory, with four joints, with one silver key.",,Ivory Tooth AnimalSilver Metal,Max L = 770 mm  Max Diam [head] = 27 mm,,"Germany, Hessen, Butzbach",Georg Heinrich Scherer,mid-18th century,Display Case 7,Philip Bate,,,SCHERER [fleur de lys] [on all joints],"1 key, Georg Heinrich Scherer, Butzbach, mid-18th century, ivory. 1011 [display label]",,,Collections Image 15-01-2013,,yes,"Fair condition, foot chipped, crack in lower body which has been repaired with sellotape.",Elin Bornemann [15/01/2013]
1015,,Transverse FluteFlute d'Amour,Flutes,"Flute d'amour of boxwood, in four joints, with ivory ferrules, and with one silver key.",,Ivory Tooth AnimalSilver MetalBoxwood Plant,Max L = 755 mm  Max Diam [head] = 35 mm,,"UK, England, London",Thomas Stanesby jr.,c.1735,Display Case 7,purchased,,Tony Bingham,STANESBY JUNIOR [on all joints],"1 key, Thomas Stanesby jr. London. c. 1735, boxwood. Purchased with the assistance of the National Heritage Memorial Fund. 1015 [display label]",,,Collections Image 15-01-2013,,yes,"Fair condition, small cracks in all ferrules.",Elin Bornemann [15/01/2013]
1010,,Transverse FluteFlute d'Amour,Flutes,"Flute d'amour of boxwood, in four joints, with one brass key.",,Ivory Tooth AnimalBoxwood Plant,Max L = 767 mm  Max Diam [head] = 31 mm,,"UK, England?",Clementi & Co (sellers),early 19th century,Display Case 7,Philip Bate,,,CLEMENTI & CO LONDON [on head],"1 key (or Bb bass flute), sold by the piano manufacturers Clementi & Co, London, early 19th century, boxwood. 1010 [display label]","Clementi & Co. were the sellers, but probably not the makers of this instrument.",,Collections Image 15-01-2013,,yes,Good condition.,Elin Bornemann [15/01/2013]
1013,,Transverse FluteFlute d'Amour,Flutes,"Flute d'amour of boxwood, in four joints, brass ferrules and five brass keys (originally only one, the others added later).",,Brass MetalBoxwood Plant,Max L = 743 mm  Max Diam [head] = 30 mm,,France?,anon,mid-18th century,Display Case 7,Reginald Morley-Pegge Memorial Gift,13/06/1972,given via William Morley-Pegge,,"1 key, anon, French, mid-18th century, boxwood. Morley-Pegge Gift. 1013 [display label]",,,Collections Image 15-01-2013,,yes,"Fair condition. Cracks in foot, lower body joint and one ferrule, wood stained black in places.",Elin Bornemann [15/01/2013]
429,,Clarinet,Reed Instruments,"Clarinet in high F, of boxwood, with two brass keys. The reed is tied on with grey string.",,Boxwood PlantBrass Metal,Max L = 448 mm  Max Diam [bell] = 52 mm,,"Belgium, Brussels",Jean Baptiste Willems,second half 18th century,Display Case 7,purchased,16/03/1988,"ex van Zuylen, bought at Christie's per Tony Bingham","I B WILLEMS [star] 
also marked F in ink on the head","2 key in F, marked I.B. Willems, boxwood. Purchased: The Hulme Surplus Fund. 429 [display label]",,,Collections Image 17-01-2013,,yes,Good condition.,Elin Bornemann [16/01/2013]
413,,Clarinet,Reed Instruments,"Clarinet in C, of boxwood, with four brass keys and brass ferrules. The mouthpiece is of black wood (not original).",,Boxwood PlantBrass MetalWood Plant,Max L = 590 mm  Max Diam [bell] = 59 mm,,"UK, England?",anon,c.1760,Display Case 7,Philip Bate,,,J WOOD FECIT [on mouthpiece],"4 key in C, anon, c. 1760, boxwood. Found in East Anglia. Speaker a/e', Ab/eb, and E/b keys. 413 [display label]",,,Collections Image 17-01-2013,,"yes [needs reed, joints loose]","Fair condition. Joints loose, bell rim chipped, oxidation on the ferrules.",Elin Bornemann [16/01/2013]
4035,,Clarinet,Reed Instruments,"Clarinet in D, foot and bell of boxwood, other parts possibly another wood, with two brass keys. The reed is tied on with green string. Copy of the clarinet in St. Petersburg by Oberlender.",,Boxwood PlantBrass MetalWood Plant,Max L = 552 mm  Max Diam [bell] = 57 mm,,Russia,Felix Raudonikas,20th century,Display Case 7,Felix Raudonikas,,,,"2 key in C by J.W. Oberlender, c. 1730. Reproduction made and given by Felix Raudonikas. 4035 [display label]",,,Collections Image 17-01-2013,,yes [head fits very loosely!],Good condition.,Elin Bornemann [16/01/2013]
407,,Clarinet,Reed Instruments,"Clarinet in C, of boxwood stained reddish-brown, with five brass keys and ferrules and bell ring of ivory. The reed is tied on with blue string.",,Boxwood PlantBrass MetalIvory Tooth Animal,Max L = 602 mm  Max Diam [bell] = 62 mm,,"UK, England, London",G.C. Payne,first third 19th century,Display Case 7,Philip Bate,,,G.C. PAYNE LONDON,"5 key in C, G.C. Payne, London, first third 19th century, boxwood. 407 [display label]",,,Collections Image 17-01-2013,,yes ,"Fair condition, crack in the barrel, some tarnishing on the metal.",Elin Bornemann [16/01/2013]
42,,Clarinet,Reed Instruments,"Clarinet in C, of boxwood, with five brass keys and ferrules and bell ring of ivory. No barrel or mouthpiece.",,Boxwood PlantBrass MetalIvory Tooth Animal,Max L = 505 mm  Max Diam [bell] = 64 mm,,"UK, England, London",Cahusac,third quarter 18th century,Display Case 7,Philip Bate,,,[crown] C  CAHUSAC 196 STRAND LONDON,"5 key in C, Cahusac senior, London, third quarter 18th century, boxwood. 42 [display label]",,,Collections Image 17-01-2013,,no,"Fair condition, bell ring chipped and cracked, crack also in the bell. No barrel or mouthpiece.",Elin Bornemann [16/01/2013]
x41,,Clarinet,Reed Instruments,"Clarinet in C, of boxwood, with five brass keys, ferrules and bell ring of ivory. No barrel or mouthpiece.",,Boxwood PlantBrass MetalIvory Tooth Animal,Max L = 508 mm  Max Diam [bell] = 70 mm,,"UK, England, London",Cahusac,third quarter 18th century,Display Case 7,Philip Bate,,,[crown] C  CAHUSAC  LONDON,"5 key in C, Cahusac, third quarter 18th century, boxwood. Philip Bate loan. x41 [display label]",,,Collections Image 17-01-2013,,no,Good condition. No barrel or mouthpiece.,Elin Bornemann [16/01/2013]
41,,Clarinet,Reed Instruments,"Clarinet in Bb, of boxwood, with five brass keys, ferrules and bell ring of ivory. At some point a sixth key had been added and then removed again.",,Boxwood PlantBrass MetalIvory Tooth Animal,Max L = 661 mm  Max Diam [bell] = 68 mm,,"UK, England, London",Cahusac,third quarter 18th century,Display Case 7,Philip Bate,,,B  CAHUSAC  LONDON,"5 key in Bb, Cahusac, London, third quarter 18th century, boxwood. 41 [display label]",,,Collections Image 17-01-2013,,possibly (needs reed),"Fair condition, cracks in barrel and lower body joints. Two ferrules are also cracked. Some spots of dirt.",Elin Bornemann [16/01/2013]
402,,Clarinet,Reed Instruments,"Clarinet in C, of boxwood, with five brass keys. no barrel or mouthpiece.",,Boxwood PlantBrass Metal,Max L = 509 mm  Max Diam [bell] = 63 mm,,"UK, England, London",Longman & Broderip,c.1780,Display Case 7,Philip Bate,,,[crown] C  LONGMAN & BRODERIP NO. 26 CHEAPSIDE LONDON [on upper body]  [crown] C LONGMAN & BRODERIP LONDON [on lower body]  LONGMAN & BRODERIP NO. 26 CHEAPSIDE LONDON [on bell],"5 key box in C, Longman & Broderip, London, c. 1780. Integral barrel & mouthpiece and lower joint & bell. 402 [display label]","Anthony Baines' catalogue and the display label mention an integral barrel and mouthpiece, but this is not present now.",,Collections Image 17-01-2013,,no,"Fair condition, bell rim chipped and crack in the bell, also crack in the upper body joint.",Elin Bornemann [16/01/2013]
401,,Clarinet,Reed Instruments,"Clarinet in Bb, of boxwood, with five brass keys with a sixth added later, brass ferrules and ivory bell ring. Mouthpiece of ebony.",,Boxwood PlantBrass MetalIvory Tooth AnimalEbony Wood Plant,Max L = 651 mm  Max Diam [bell] = 66 mm,,"UK, England, Oxford",Paul Hatton,c.1800,Display Case 7,Philip Bate,,,P. HATTON,"5 key in Bb, P. Hatton, c. 1800, boxwood. Original integral bell replaced with an unmarked bell. 401 [display label]",,,Collections Image 17-01-2013,,no,"Fair condition, lower body/bell joint fits vey loosely and tends to fall off. Bell cracked, had been stitched at some point. Crack in upper body joint.",Elin Bornemann [16/01/2013]
4099,,Clarinet,Reed Instruments,"Clarinet in C, of boxwood, with six brass keys, ivory ferrules and ivory bell ring. Mouthpiece of ebony, with reed tied on with string.",,Boxwood PlantBrass MetalIvory Tooth AnimalEbony Wood Plant,Max L = 588 mm  Max Diam [bell] = 77 mm,,"UK, England, London",Christopher Gerock,c.1835,Display Case 7,Katharine Jeans,,"Bought by the donor from from R. Morley-Pegge. Officially, by decree of Hebdomadal Council, part of the Morley-Pegge Gift","[crown] C  C. GEROCK 79 CORNHILL LONDON [unicorn head] [on upper body, same on bell except crowned C and unicorn other way round]   C. GEROCK LONDON [on other joints]","6 key in C, Christopher Gerock, London, c. 1835, boxwood. ex Morley-Pegge. dd Katharine Jeans to the Morley-Pegge gift. 4099 [display label]",,,Collections Image 17-01-2013,,no,"Fair condition, crack in upper body joint, one key not working, dirt on the bell.",Elin Bornemann [16/01/2013]
4017,,Clarinet,Reed Instruments,"Clarinet in G, of wood painted brown, with plastic mouthpiece, one brass key and metal thumbrest. Fingering like that of a recorder.",,Wood PlantBrass MetalPlastic Synthetic,Max L = 351 mm  Max Diam [bell] = 47 mm,,"Germany, Taunusstein",Hopf,20th century,Display Case 7,Edgar Hunt,February 1983,,[bird] HOPF,"Kinderklarinette, Hopf, Taunus, modern. 1 key in high G with German recorder fingering, designed to introduce children to the clarinet. Edgar Hunt Accession. 4017 [display label]",,,Collections Image 17-01-2013,,yes,"Fair condition, dirty (mouldy even?) all over.",Elin Bornemann [16/01/2013]
4042,,Chalumeau,Reed Instruments,"Chalumeau in C, of boxwood, with two brass keys, mouthpiece with single reed tied on with string, otherwise resembling a recorder.",,Boxwood PlantBrass Metal,Max L = 462 mm  Max Diam [foot] = 39 mm,,"UK, England, Huddersfield",John Cousen,20th century,Display Case 7,John Cousen,,,,"2 key chalumeau in C. Reproduction of the ancestor of the clarinet at about 1700. Made and presented by John Cousen, Huddersfield. 4042 [display label]",,,Collections Image 17-01-2013,,yes,Good condition.,Elin Bornemann [16/01/2013]
4007,,Chalumeau,Reed Instruments,"Chalumeau in F, of medium brown wood, with two brass keys and mouthpiece with single reed, otherwise resembling a recorder.",,Wood PlantBrass Metal,Max L = 478 mm  Max Diam [foot] = 40 mm,,"UK, England",F.W. Galpin?,early 20th century,Display Case 7,Anthony Baines,,"bought from Karl Haas, ex Galpin",KLENIG [on foot],"Reproduction of a 2 key chalumeau, by Klenig in the Stockholm Museum, c. 1700, said to have been made by Canon Galpin, early 20th century, but there are traces of another maker's mark on the bell. dd Anthony Baines 4007 [display label]","The name on the bell is Klenig, so it was either copied from the original or put there by the maker of the reproduction to indicate who made the original.
Cut down for pitch by Anthony Baines.",,Collections Image 17-01-2013,,yes,Good condition.,Elin Bornemann [16/01/2013]
x40,,Clarinet,Reed Instruments ,"Clarinet in Bb, of boxwood with five brass keys, ivory ferrules and ebony mouthpiece. Barrel not original.",,Boxwood PlantBrass MetalIvory Tooth AnimalEbony Wood Plant,Max L = 646 mm  Max Diam [bell] = 83 mm,,"UK, England, London",Broderip & Wilkinson,c.1800,Display Case 7,Anthony Baines,04/03/2002,,BRODERIP & WILKINSON,"5 key in Bb, sold by Broderip & Wilkinson, London, c. 1800, boxwood. Anthony Baines Bequest. x40 [display label]",,,Collections Image 17-01-2013,,no,"Fair condition. Mouthpiece damaged, metal tarnished.",Elin Bornemann [16/01/2013]
